dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	med	9	5	1.5502986	0.33880975582581857
mscoco	init	med	9	6	1.542907	0.27193744221570776
mscoco	init	med	9	7	1.5397727	0.2950973417812972
mscoco	init	med	9	8	1.5251462	0.3766817293475567
mscoco	init	med	9	9	1.4796253	0.24382488563767946
mscoco	init	med	10	0	1.6860907	0.4915859527183029
mscoco	init	med	10	1	1.6074083	0.5993404178124554
mscoco	init	med	10	2	1.585598	0.37980294697127254
mscoco	init	med	10	3	1.5746816	0.3484597976477641
mscoco	init	med	10	4	1.5573179	0.3600215702967824
mscoco	init	med	10	5	1.5496897	0.3209984369013669
mscoco	init	med	10	6	1.541065	0.29608584147579264
mscoco	init	med	10	7	1.5313703	0.27180820621971813
mscoco	init	med	10	8	1.5366266	0.2933772115774874
mscoco	init	med	10	9	1.5204438	0.35937041609354736
mscoco	init	med	10	10	1.4715244	0.22851297737292522
mscoco	init	med	11	0	1.6483793	0.4875165545770447
mscoco	init	med	11	1	1.582347	0.589399855272833
mscoco	init	med	11	2	1.5746795	0.3828257199096097
mscoco	init	med	11	3	1.5531384	0.32232172359274264
mscoco	init	med	11	4	1.5322971	0.32492299890809534
mscoco	init	med	11	5	1.5306021	0.3313398536013974
mscoco	init	med	11	6	1.5336378	0.2767943383598522
mscoco	init	med	11	7	1.519358	0.3066086448622818
mscoco	init	med	11	8	1.519913	0.27093937841306637
mscoco	init	med	11	9	1.5132992	0.2736020035996214
mscoco	init	med	11	10	1.5003637	0.3444705510212302
mscoco	init	med	11	11	1.455271	0.2162490899839615
mscoco	init	med	12	0	1.6267494	0.47802167771191434
mscoco	init	med	12	1	1.5897882	0.5718714161936579
mscoco	init	med	12	2	1.5669547	0.33523988261305054
mscoco	init	med	12	3	1.5643644	0.35928448495166054
mscoco	init	med	12	4	1.538452	0.32651657534056694
mscoco	init	med	12	5	1.5350792	0.27862627907045956
mscoco	init	med	12	6	1.5525535	0.2803396749599227
mscoco	init	med	12	7	1.5463395	0.2573586340094435
mscoco	init	med	12	8	1.5484898	0.2694915597294939
mscoco	init	med	12	9	1.5164387	0.3484787293549242
mscoco	init	med	12	10	1.5212575	0.2549875846196865
mscoco	init	med	12	11	1.5264131	0.2781981383932048
mscoco	init	med	12	12	1.4645869	0.18973287785875387
mscoco	init	med	13	0	1.7352624	0.4943040418624878
mscoco	init	med	13	1	1.6091539	0.6033864277601242
mscoco	init	med	13	2	1.5945795	0.3849310100078583
mscoco	init	med	13	3	1.5875314	0.34130629897117615
mscoco	init	med	13	4	1.579783	0.36080840349197385
mscoco	init	med	13	5	1.5822395	0.30168294191360473
mscoco	init	med	13	6	1.571866	0.2938241910934448
mscoco	init	med	13	7	1.5763538	0.30981425523757933
mscoco	init	med	13	8	1.5649716	0.2771400237083435
mscoco	init	med	13	9	1.5570737	0.2798713517189026
mscoco	init	med	13	10	1.5724816	0.27762811541557314
mscoco	init	med	13	11	1.5419558	0.23695709943771362
mscoco	init	med	13	12	1.502354	0.29412185192108153
mscoco	init	med	13	13	1.4615055	0.1896210503578186
mscoco	init	min	7	0	1.6994042	0.5383285723234478
mscoco	init	min	7	1	1.6882946	0.644918743619009
mscoco	init	min	7	2	1.632127	0.4327892090537046
mscoco	init	min	7	3	1.6249524	0.3686830397499235
mscoco	init	min	7	4	1.6369563	0.33662810764814677
mscoco	init	min	7	5	1.6237628	0.3926579129735106
mscoco	init	min	7	6	1.6194898	0.44574189068455444
mscoco	init	min	7	7	1.5868464	0.3188376087499292
mscoco	init	min	8	0	1.7072746	0.537795159556526
mscoco	init	min	8	1	1.6564144	0.651549956425338
mscoco	init	min	8	2	1.6281761	0.4229561523036024
mscoco	init	min	8	3	1.6206005	0.40213097268642894
mscoco	init	min	8	4	1.6031818	0.4139575286379611
mscoco	init	min	8	5	1.5936823	0.3354284174154195
mscoco	init	min	8	6	1.6066633	0.33984148168631434
mscoco	init	min	8	7	1.5902691	0.45773268018437985
mscoco	init	min	8	8	1.568104	0.2930729944050354
mscoco	init	min	9	0	1.7134433	0.5368928586913468
mscoco	init	min	9	1	1.6704348	0.6497710476481429
mscoco	init	min	9	2	1.6522883	0.4221373218711737
mscoco	init	min	9	3	1.6347065	0.39101297619078806
mscoco	init	min	9	4	1.6321682	0.3762478592473751
mscoco	init	min	9	5	1.6224786	0.39114369390445813
mscoco	init	min	9	6	1.6142229	0.31416543954005544
mscoco	init	min	9	7	1.6204057	0.34153920393255477
mscoco	init	min	9	8	1.6057346	0.4390742811948762
mscoco	init	min	9	9	1.5684732	0.2838567138846688
mscoco	init	min	10	0	1.7424477	0.5437844147378543
mscoco	init	min	10	1	1.6891758	0.662377494629824
mscoco	init	min	10	2	1.6758165	0.4264912965725053
mscoco	init	min	10	3	1.6708653	0.40054854515869664
mscoco	init	min	10	4	1.64505	0.41254859234926833
mscoco	init	min	10	5	1.6511296	0.3730509770788112
mscoco	init	min	10	6	1.6536522	0.34782834671578317
mscoco	init	min	10	7	1.6400546	0.3144518632933779
mscoco	init	min	10	8	1.6446468	0.3398764911125291
mscoco	init	min	10	9	1.6257336	0.420054261316106
mscoco	init	min	10	10	1.5791223	0.26885970009947724
mscoco	init	min	11	0	1.6999099	0.5379029006797768
mscoco	init	min	11	1	1.6524425	0.6497174927361629
mscoco	init	min	11	2	1.6319906	0.42894228091065123
mscoco	init	min	11	3	1.6231569	0.36706563775748197
mscoco	init	min	11	4	1.6091222	0.370550706952264
mscoco	init	min	11	5	1.6033548	0.3826175481081009
