dataset	architecture	cap_len	token_pos	mean_img_grad	mean_prevtoken_grad
mscoco	pre	10	9	0.0014965686	0.019058146
mscoco	pre	10	10	0.0005329667	0.006127531
mscoco	pre	11	0	0.00082414004	0.009940624
mscoco	pre	11	1	0.001680091	0.015972963
mscoco	pre	11	2	0.0010752644	0.00727867
mscoco	pre	11	3	0.0010049643	0.008763177
mscoco	pre	11	4	0.0011741102	0.012540297
mscoco	pre	11	5	0.0014469714	0.01863962
mscoco	pre	11	6	0.0010517383	0.015107244
mscoco	pre	11	7	0.0013414144	0.019832853
mscoco	pre	11	8	0.0007389038	0.011203242
mscoco	pre	11	9	0.00095533964	0.014632363
mscoco	pre	11	10	0.0014893413	0.019684188
mscoco	pre	11	11	0.0004902864	0.005560452
mscoco	pre	12	0	0.0010217304	0.011357857
mscoco	pre	12	1	0.0021046214	0.01695582
mscoco	pre	12	2	0.0008049246	0.0066054137
mscoco	pre	12	3	0.0013635387	0.012581008
mscoco	pre	12	4	0.0013820503	0.0122030005
mscoco	pre	12	5	0.0010175754	0.011476013
mscoco	pre	12	6	0.001187351	0.026491819
mscoco	pre	12	7	0.0009782837	0.008749232
mscoco	pre	12	8	0.0007931758	0.01220118
mscoco	pre	12	9	0.001149164	0.018895742
mscoco	pre	12	10	0.0005451573	0.0076402165
mscoco	pre	12	11	0.0015019038	0.015374932
mscoco	pre	12	12	0.00036873386	0.004465294
mscoco	pre	13	0	0.000787761	0.008165602
mscoco	pre	13	1	0.0017934487	0.013839322
mscoco	pre	13	2	0.0013953566	0.0104525685
mscoco	pre	13	3	0.0014993051	0.011670935
mscoco	pre	13	4	0.0019917726	0.0150529435
mscoco	pre	13	5	0.0011734046	0.0107540125
mscoco	pre	13	6	0.0010993736	0.012371493
mscoco	pre	13	7	0.0021789926	0.022057103
mscoco	pre	13	8	0.0008706116	0.010283775
mscoco	pre	13	9	0.0010736577	0.015547085
mscoco	pre	13	10	0.0013192719	0.01798522
mscoco	pre	13	11	0.0009895802	0.010906035
mscoco	pre	13	12	0.0019176744	0.017903406
mscoco	pre	13	13	0.00040084886	0.004287336
mscoco	par	7	0	0.00033393226	0.012787633
mscoco	par	7	1	0.00045895771	0.015414484
mscoco	par	7	2	0.000498324	0.027625335
mscoco	par	7	3	0.00041069908	0.014146554
mscoco	par	7	4	0.00030885558	0.012349417
mscoco	par	7	5	0.0003297151	0.014625702
mscoco	par	7	6	0.00047979128	0.019617856
mscoco	par	7	7	0.00047398772	0.011511353
mscoco	par	8	0	0.00030750595	0.010959033
mscoco	par	8	1	0.0006496836	0.016945165
mscoco	par	8	2	0.00031175607	0.009360171
mscoco	par	8	3	0.00042617656	0.013528572
mscoco	par	8	4	0.00055468443	0.016867215
mscoco	par	8	5	0.00040584386	0.014887575
mscoco	par	8	6	0.00041522135	0.018202325
mscoco	par	8	7	0.00065527216	0.02225115
mscoco	par	8	8	0.000612765	0.014931042
mscoco	par	9	0	0.0003176171	0.011355141
mscoco	par	9	1	0.00065450725	0.016514713
mscoco	par	9	2	0.00027313767	0.0072901137
mscoco	par	9	3	0.00048975763	0.013053284
mscoco	par	9	4	0.00044023243	0.014596316
mscoco	par	9	5	0.0004679914	0.017272802
mscoco	par	9	6	0.0002365339	0.008771903
mscoco	par	9	7	0.0004500586	0.015833303
mscoco	par	9	8	0.0005615438	0.018847242
mscoco	par	9	9	0.00042597533	0.0127334455
mscoco	par	10	0	0.00031820365	0.011318846
mscoco	par	10	1	0.000571824	0.014561218
mscoco	par	10	2	0.0002957366	0.009094914
mscoco	par	10	3	0.00048388168	0.013826934
mscoco	par	10	4	0.00048077045	0.016648542
mscoco	par	10	5	0.0004971755	0.01670056
mscoco	par	10	6	0.0004583257	0.017890438
mscoco	par	10	7	0.00025542278	0.009924343
mscoco	par	10	8	0.0003695572	0.013560027
mscoco	par	10	9	0.0005993152	0.019021755
mscoco	par	10	10	0.00027611456	0.008247487
mscoco	par	11	0	0.0003142505	0.010839335
mscoco	par	11	1	0.0005526502	0.012395382
mscoco	par	11	2	0.00032380098	0.00681408
mscoco	par	11	3	0.00043047825	0.010702455
mscoco	par	11	4	0.0003579283	0.011524951
mscoco	par	11	5	0.0004760929	0.01654493
mscoco	par	11	6	0.0004785051	0.020712549
mscoco	par	11	7	0.00047569838	0.014614141
mscoco	par	11	8	0.00034713658	0.012394545
mscoco	par	11	9	0.00042370206	0.014145661
mscoco	par	11	10	0.00062473665	0.018323729
mscoco	par	11	11	0.00031232307	0.0077092983
mscoco	par	12	0	0.0003720163	0.01271092
mscoco	par	12	1	0.0007381271	0.014551189
mscoco	par	12	2	0.00016077471	0.003493527
mscoco	par	12	3	0.0007013038	0.015637152
mscoco	par	12	4	0.00044061398	0.011252267
mscoco	par	12	5	0.00049258623	0.015496716
mscoco	par	12	6	0.0005802568	0.023950936
mscoco	par	12	7	0.00013574192	0.0039245007
mscoco	par	12	8	0.00013793797	0.0048801433
mscoco	par	12	9	0.00068672484	0.023472114
mscoco	par	12	10	0.00013552816	0.0043223347
mscoco	par	12	11	0.0004790903	0.014473707
mscoco	par	12	12	0.00021741864	0.006113665
mscoco	merge	7	0	0.0010468769	0.012059432
mscoco	merge	7	1	0.0015719017	0.030011427
mscoco	merge	7	2	0.0009038308	0.055901766
mscoco	merge	7	3	0.0013398032	0.039213713
mscoco	merge	7	4	0.001013791	0.03854129
mscoco	merge	7	5	0.00091696007	0.040069792
mscoco	merge	7	6	0.0013821473	0.04048158
mscoco	merge	7	7	0.00045521438	0.035653397
mscoco	merge	8	0	0.0010666619	0.011717585
mscoco	merge	8	1	0.0017505942	0.027058823
mscoco	merge	8	2	0.0009908823	0.0346322
mscoco	merge	8	3	0.0011563352	0.04174074
mscoco	merge	8	4	0.001439007	0.036848422
mscoco	merge	8	5	0.0011323903	0.041514695
mscoco	merge	8	6	0.0010751385	0.04845547
mscoco	merge	8	7	0.0015660147	0.039579645
mscoco	merge	8	8	0.0006077622	0.046320416
mscoco	merge	9	0	0.001129082	0.011516521
mscoco	merge	9	1	0.0016994058	0.027185112
