dataset	image	max_sim_image	max_sim_image_dist	med_sim_image	med_sim_image_dist	min_sim_image	min_sim_image_dist
mscoco	85	4400	0.40579187870025635	2772	0.7986049354076385	1783	0.9504285156726837
mscoco	86	1685	0.45712703466415405	2381	0.826104149222374	1362	0.9333642348647118
mscoco	87	1965	0.37097012996673584	876	0.7765682190656662	2494	0.9414982609450817
mscoco	88	1454	0.3574444055557251	134	0.7429811954498291	1957	0.9514428414404392
mscoco	89	3124	0.19388937950134277	3422	0.8118505030870438	898	0.9629122130572796
mscoco	90	3516	0.3310657739639282	1038	0.7840230166912079	1957	0.96028658375144
mscoco	91	4408	0.1908717155456543	4669	0.8145211786031723	3235	0.9630456417798996
mscoco	92	4998	0.4374912977218628	500	0.8112068772315979	3925	0.957400020211935
mscoco	93	2571	0.41304653882980347	4036	0.812304675579071	3426	0.9509968273341656
mscoco	94	973	0.2766607999801636	4396	0.7807585597038269	4962	0.9518116600811481
mscoco	95	3896	0.29451829195022583	1066	0.8468267321586609	4738	0.9669865071773529
mscoco	96	481	0.3500291705131531	4345	0.8179625570774078	3338	0.9563128054141998
mscoco	97	4568	0.42729389667510986	3813	0.7763339430093765	4099	0.9272083938121796
mscoco	98	4293	0.27438241243362427	82	0.8552793711423874	4740	0.9713521301746368
mscoco	99	4553	0.2999565005302429	4419	0.8366927802562714	3481	0.9522625841200352
mscoco	100	2571	0.27383750677108765	1877	0.8089633136987686	3580	0.9663831740617752
mscoco	101	3261	0.37067657709121704	1394	0.7571979761123657	347	0.9300124570727348
mscoco	102	4046	0.356773316860199	1010	0.8391010463237762	4738	0.9633340910077095
mscoco	103	1056	0.5083802342414856	3625	0.8110944628715515	2376	0.9302709475159645
mscoco	104	1728	0.4232497811317444	1994	0.8063211143016815	417	0.9519509896636009
mscoco	105	2722	0.27525603771209717	2779	0.8248785883188248	953	0.9536747969686985
mscoco	106	2931	0.34523236751556396	2105	0.8028637766838074	1957	0.9462686069309711
mscoco	107	1959	0.234333336353302	3954	0.7973275035619736	3095	0.9473732970654964
mscoco	108	3873	0.24524635076522827	364	0.7411223948001862	343	0.9240956977009773
mscoco	109	4285	0.4253119230270386	3988	0.7718117833137512	4084	0.9504156298935413
mscoco	110	3526	0.27794110774993896	4835	0.7478338778018951	599	0.9093545973300934
mscoco	111	553	0.26023584604263306	2951	0.8004620522260666	2494	0.9541086181998253
mscoco	112	2057	0.2366880178451538	542	0.8080216497182846	1291	0.9554135091602802
mscoco	113	632	0.23079198598861694	2928	0.805197611451149	343	0.9573977887630463
mscoco	114	3528	0.2471919059753418	2046	0.8067831695079803	3095	0.9513666108250618
mscoco	115	956	0.20016270875930786	1831	0.8112304508686066	1712	0.9435494393110275
mscoco	116	4158	0.16578727960586548	458	0.8165408372879028	3003	0.9468167871236801
mscoco	117	1922	0.48940157890319824	4267	0.770257830619812	4116	0.9465932883322239
mscoco	118	2845	0.3629581928253174	794	0.8361155390739441	3580	0.9750792104750872
mscoco	119	2732	0.2374454140663147	2511	0.7384873926639557	3140	0.9180974587798119
mscoco	120	4565	0.19887036085128784	665	0.8123881667852402	3308	0.9456937611103058
mscoco	121	3318	0.44855666160583496	4361	0.7552046775817871	343	0.9418774545192719
mscoco	122	1423	0.5626139640808105	4545	0.8472060412168503	417	0.9579857289791107
mscoco	123	3125	0.49101966619491577	1351	0.7890776097774506	2099	0.936452642083168
mscoco	124	985	0.36165696382522583	3049	0.760305792093277	418	0.9433678761124611
mscoco	125	1641	0.5514596104621887	4782	0.7819798290729523	3332	0.9241892248392105
mscoco	126	3150	0.32162487506866455	4184	0.8160443603992462	2494	0.9523023068904877
mscoco	127	4066	0.47707509994506836	2828	0.8127307593822479	700	0.9288394972681999
mscoco	128	1972	0.3319437503814697	3786	0.7755653113126755	1081	0.9312537163496017
mscoco	129	713	0.3796164393424988	781	0.8220050185918808	2403	0.9532670043408871
mscoco	130	1467	0.5001292824745178	3205	0.8222879469394684	2403	0.948312371969223
mscoco	131	293	0.49998241662979126	2112	0.750992625951767	661	0.9340889677405357
mscoco	132	1943	0.38432127237319946	1622	0.8306220918893814	4128	0.9485602416098118
mscoco	133	4446	0.41398924589157104	3193	0.7643586248159409	4099	0.9312954917550087
mscoco	134	3142	0.47293734550476074	2635	0.7842197418212891	4116	0.9334076419472694
mscoco	135	3295	0.3882882595062256	4543	0.7854821681976318	4116	0.9532293491065502
mscoco	136	1219	0.4533863067626953	794	0.8032185733318329	3327	0.9513004459440708
mscoco	137	2278	0.3914640545845032	4194	0.7925876975059509	2130	0.9353189170360565
mscoco	138	4504	0.4379289746284485	1420	0.7991294264793396	351	0.9366592168807983
mscoco	139	2501	0.3011680245399475	2434	0.7942554652690887	4847	0.955521572381258
mscoco	140	745	0.4204311966896057	2778	0.7680185586214066	854	0.9309739321470261
mscoco	141	3690	0.323202908039093	275	0.7907227575778961	4528	0.9523092061281204
mscoco	142	847	0.47735798358917236	1035	0.7660474479198456	4748	0.9299735203385353
mscoco	143	754	0.46708714962005615	3148	0.8057025969028473	3580	0.9479427188634872
mscoco	144	2252	0.3088504672050476	1077	0.7689570337533951	2494	0.9416018947958946
mscoco	145	3567	0.45078837871551514	4859	0.7686155587434769	3140	0.9513873271644115
mscoco	146	3005	0.230465829372406	501	0.8076508194208145	2760	0.9553260691463947
mscoco	147	2360	0.242118239402771	2575	0.8336511105298996	2246	0.9458019062876701
mscoco	148	3005	0.20380455255508423	1830	0.8051721453666687	552	0.9483773000538349
mscoco	149	3725	0.41158461570739746	3988	0.7541721910238266	1119	0.9337789043784142
mscoco	150	4087	0.3691978454589844	760	0.8166195005178452	3851	0.9380749464035034
mscoco	151	4690	0.31471168994903564	4057	0.8080708533525467	2494	0.9478083327412605
mscoco	152	3563	0.2785302996635437	2217	0.83406201004982	2494	0.9586679115891457
mscoco	153	918	0.19220656156539917	4423	0.797801285982132	3620	0.9510886333882809
mscoco	154	1888	0.25230592489242554	3747	0.8045107871294022	1645	0.9460882171988487
mscoco	155	155	0.1574140191078186	742	0.8480073809623718	1645	0.9680275693535805
