dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	med	7	6	8.253242	0.05426405762371264
mscoco	init	med	7	7	6.8290043	0.02141530498077995
mscoco	init	med	8	0	8.505293	0.03317071667467762
mscoco	init	med	8	1	9.497566	0.06726165475953479
mscoco	init	med	8	2	8.288077	0.03845134121910382
mscoco	init	med	8	3	7.9416304	0.037576479197055375
mscoco	init	med	8	4	7.8288703	0.040990791238004816
mscoco	init	med	8	5	7.2787514	0.027037455924092922
mscoco	init	med	8	6	7.290945	0.026615498549206557
mscoco	init	med	8	7	8.037271	0.051776263031192406
mscoco	init	med	8	8	6.6014676	0.01866859100458049
mscoco	init	med	9	0	8.444794	0.032318326124704505
mscoco	init	med	9	1	9.243765	0.06516101722120897
mscoco	init	med	9	2	8.284522	0.039081792583837635
mscoco	init	med	9	3	7.86853	0.03625822087778692
mscoco	init	med	9	4	7.740787	0.03247207191164166
mscoco	init	med	9	5	7.654399	0.03597840029004656
mscoco	init	med	9	6	7.080747	0.024577346295374808
mscoco	init	med	9	7	7.3589096	0.027218916364189407
mscoco	init	med	9	8	8.060967	0.04945380011989136
mscoco	init	med	9	9	6.6476374	0.01751367357087696
mscoco	init	med	10	0	8.490989	0.03304702819518323
mscoco	init	med	10	1	9.342109	0.06704359324473255
mscoco	init	med	10	2	8.06863	0.03780792456752849
mscoco	init	med	10	3	7.867263	0.037083190173472995
mscoco	init	med	10	4	8.015452	0.03937751915094988
mscoco	init	med	10	5	7.5862193	0.03267191052436828
mscoco	init	med	10	6	7.3641396	0.027587570221918933
mscoco	init	med	10	7	7.192208	0.026360899940976557
mscoco	init	med	10	8	7.44725	0.028238301794483976
mscoco	init	med	10	9	8.044745	0.04813558768551305
mscoco	init	med	10	10	6.537396	0.016621287420110882
mscoco	init	med	11	0	8.347334	0.03233141556776711
mscoco	init	med	11	1	9.213384	0.06565190114217474
mscoco	init	med	11	2	8.294412	0.03975042828231625
mscoco	init	med	11	3	7.719639	0.034661700793536275
mscoco	init	med	11	4	7.6859736	0.031166526669154586
mscoco	init	med	11	5	7.603626	0.034447600788108684
mscoco	init	med	11	6	7.1560144	0.024672875943348997
mscoco	init	med	11	7	7.296201	0.03076155693128007
