dataset	architecture	distractor_name	cap_len	token_pos	jsd
mscoco	pre	max	11	0	0.03539771544492396
mscoco	pre	max	11	1	0.27667199392265807
mscoco	pre	max	11	2	0.1240673523636815
mscoco	pre	max	11	3	0.08634883724486524
mscoco	pre	max	11	4	0.08362397328704295
mscoco	pre	max	11	5	0.14548278874636555
mscoco	pre	max	11	6	0.06618204825938392
mscoco	pre	max	11	7	0.11842090900451391
mscoco	pre	max	11	8	0.07301357623600448
mscoco	pre	max	11	9	0.06974032680875553
mscoco	pre	max	11	10	0.18710565392536108
mscoco	pre	max	11	11	0.015574982622239494
mscoco	pre	max	12	0	0.04315452852089257
mscoco	pre	max	12	1	0.30766500979593964
mscoco	pre	max	12	2	0.08849303204261978
mscoco	pre	max	12	3	0.1637485323263074
mscoco	pre	max	12	4	0.14460591818372776
mscoco	pre	max	12	5	0.07755290987015741
mscoco	pre	max	12	6	0.09223380969199148
mscoco	pre	max	12	7	0.0895676220172198
mscoco	pre	max	12	8	0.062432859326817094
mscoco	pre	max	12	9	0.18435482317326318
mscoco	pre	max	12	10	0.041484839577778786
mscoco	pre	max	12	11	0.21925363883456422
mscoco	pre	max	12	12	0.014524975165283524
mscoco	pre	max	13	0	0.02849599176450916
mscoco	pre	max	13	1	0.21233497705796492
mscoco	pre	max	13	2	0.08542910496876373
mscoco	pre	max	13	3	0.06953235551633913
mscoco	pre	max	13	4	0.09190876911515775
mscoco	pre	max	13	5	0.043113244411791166
mscoco	pre	max	13	6	0.05575690412289354
mscoco	pre	max	13	7	0.1509478915477698
mscoco	pre	max	13	8	0.05013308762136148
mscoco	pre	max	13	9	0.08494561912147733
mscoco	pre	max	13	10	0.1349934641812465
mscoco	pre	max	13	11	0.05859591847468476
mscoco	pre	max	13	12	0.159909865074872
mscoco	pre	max	13	13	0.014971847034441611
mscoco	pre	med	7	0	0.06030671129105833
mscoco	pre	med	7	1	0.49213550275001
mscoco	pre	med	7	2	0.22830556506679694
mscoco	pre	med	7	3	0.2369716375242134
mscoco	pre	med	7	4	0.14975151619315927
mscoco	pre	med	7	5	0.19378689865090823
mscoco	pre	med	7	6	0.44713681376003844
mscoco	pre	med	7	7	0.1118903090722683
mscoco	pre	med	8	0	0.05471274719920066
