dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	max	7	0	0.13449588	0.040146330861668834
mscoco	init	max	7	1	0.3223348	0.5254446559399519
mscoco	init	max	7	2	0.21825574	0.21911686793043228
mscoco	init	max	7	3	0.13833505	0.14053304131927066
mscoco	init	max	7	4	0.14163332	0.1305192406411822
mscoco	init	max	7	5	0.14534867	0.14323096877380617
mscoco	init	max	7	6	0.24739198	0.2471821024794879
mscoco	init	max	7	7	0.15962182	0.1211957617809898
mscoco	init	max	8	0	0.11956808	0.027076810344916383
mscoco	init	max	8	1	0.28370628	0.45896764142659635
mscoco	init	max	8	2	0.1487082	0.16181449343425286
mscoco	init	max	8	3	0.1658565	0.13584040749191376
mscoco	init	max	8	4	0.20483355	0.23187170930373519
mscoco	init	max	8	5	0.14804992	0.12849825257636135
mscoco	init	max	8	6	0.12067103	0.07993138687781498
mscoco	init	max	8	7	0.24800864	0.3051925733895924
mscoco	init	max	8	8	0.13138904	0.05427461564752077
mscoco	init	max	9	0	0.12700655	0.030487604264001086
mscoco	init	max	9	1	0.2871224	0.5054928098109762
mscoco	init	max	9	2	0.17248826	0.18567558764853412
mscoco	init	max	9	3	0.18587314	0.16184743351141542
mscoco	init	max	9	4	0.16330653	0.15020302097094435
mscoco	init	max	9	5	0.21007814	0.20719598572905526
mscoco	init	max	9	6	0.120422915	0.0998450233223669
mscoco	init	max	9	7	0.14496668	0.10601070765333093
mscoco	init	max	9	8	0.25780952	0.3166436507646432
mscoco	init	max	9	9	0.10167186	0.029131015492319993
mscoco	init	max	10	0	0.12560768	0.029162063660486688
mscoco	init	max	10	1	0.28220502	0.48723036525134034
mscoco	init	max	10	2	0.14196688	0.1719089282538197
mscoco	init	max	10	3	0.18481322	0.15294371882381075
mscoco	init	max	10	4	0.20160665	0.2176603514336232
mscoco	init	max	10	5	0.18852016	0.16425056884467232
mscoco	init	max	10	6	0.17888184	0.14084147240885286
mscoco	init	max	10	7	0.109831564	0.10874568099421801
mscoco	init	max	10	8	0.13374369	0.11425480717509756
mscoco	init	max	10	9	0.25420254	0.2889964773006109
mscoco	init	max	10	10	0.062395327	0.01136021855867134
mscoco	init	max	11	0	0.13606215	0.035394671856750055
mscoco	init	max	11	1	0.30090174	0.5163903294978845
mscoco	init	max	11	2	0.19029212	0.23082878399031453
mscoco	init	max	11	3	0.19427325	0.14501656030253518
mscoco	init	max	11	4	0.16908951	0.16281892768678288
mscoco	init	max	11	5	0.21031193	0.199000898143324
mscoco	init	max	11	6	0.14932545	0.1022420777823556
mscoco	init	max	11	7	0.17902109	0.15503223340635547
mscoco	init	max	11	8	0.11215601	0.13346941899266399
mscoco	init	max	11	9	0.13588788	0.11379336888844749
mscoco	init	max	11	10	0.24281056	0.2613104512178113
mscoco	init	max	11	11	0.054955397	0.007320479924227215
mscoco	init	max	12	0	0.15495725	0.03798101020270381
mscoco	init	max	12	1	0.35955334	0.6228252201349121
mscoco	init	max	12	2	0.1532231	0.18830501232777946
mscoco	init	max	12	3	0.27641213	0.26127365955296133
mscoco	init	max	12	4	0.18556157	0.20063285380280738
mscoco	init	max	12	5	0.20112213	0.14865894264798482
mscoco	init	max	12	6	0.20683238	0.15756731549205644
mscoco	init	max	12	7	0.10699097	0.12437489865937848
mscoco	init	max	12	8	0.11780133	0.08970725748302608
mscoco	init	max	12	9	0.21902858	0.2967923331648778
mscoco	init	max	12	10	0.117191926	0.09671870928236628
mscoco	init	max	12	11	0.21575956	0.22137012021969363
mscoco	init	max	12	12	0.039392285	0.007226852507426821
mscoco	init	max	13	0	0.1317609	0.025293238162994384
mscoco	init	max	13	1	0.2691246	0.3626929426193237
mscoco	init	max	13	2	0.1758696	0.21235068798065185
mscoco	init	max	13	3	0.11236287	0.09806908160448075
mscoco	init	max	13	4	0.17011876	0.16317971110343932
mscoco	init	max	13	5	0.13896924	0.12112904474139213
mscoco	init	max	13	6	0.11358152	0.1163414166867733
mscoco	init	max	13	7	0.20221241	0.1695960697811097
mscoco	init	max	13	8	0.108427905	0.12461335152387619
mscoco	init	max	13	9	0.14278446	0.08493325710296631
mscoco	init	max	13	10	0.09918252	0.11355296671390533
mscoco	init	max	13	11	0.07825897	0.04210205614566803
mscoco	init	max	13	12	0.15891829	0.17421965464949607
mscoco	init	max	13	13	0.034965318	0.004502909183502197
mscoco	init	med	7	0	0.17502716	0.06053144935714571
mscoco	init	med	7	1	0.44754043	0.8848779492430989
mscoco	init	med	7	2	0.2848686	0.35470853403163155
mscoco	init	med	7	3	0.24350877	0.3347032721840629
mscoco	init	med	7	4	0.22466685	0.22485772151757324
mscoco	init	med	7	5	0.28484702	0.3739703885518171
mscoco	init	med	7	6	0.50023997	0.6443801882556536
mscoco	init	med	7	7	0.21869898	0.21918375692085215
mscoco	init	med	8	0	0.15879835	0.04019062942346725
mscoco	init	med	8	1	0.4237105	0.844847725566425
mscoco	init	med	8	2	0.24546528	0.3015066411802329
mscoco	init	med	8	3	0.27411038	0.27502997714845373
mscoco	init	med	8	4	0.32248536	0.506845445599284
mscoco	init	med	8	5	0.23353441	0.24965207059383374
mscoco	init	med	8	6	0.20486474	0.1703509331196857
mscoco	init	med	8	7	0.4458378	0.7072024364552126
mscoco	init	med	8	8	0.19853106	0.1063262197425989
mscoco	init	med	9	0	0.16175345	0.04065804103121153
mscoco	init	med	9	1	0.39607158	0.8312125172456748
mscoco	init	med	9	2	0.29071924	0.35906306345702566
mscoco	init	med	9	3	0.2802372	0.3029436169042952
mscoco	init	med	9	4	0.28921056	0.3248789174008304
mscoco	init	med	9	5	0.34501457	0.4264718567172692
mscoco	init	med	9	6	0.19958375	0.1997565692513743
mscoco	init	med	9	7	0.24196401	0.2309490903570816
mscoco	init	med	9	8	0.43847653	0.6218183580481135
mscoco	init	med	9	9	0.14936395	0.049488219818847316
mscoco	init	med	10	0	0.16616447	0.042771567797885754
mscoco	init	med	10	1	0.41040742	0.8322746589738944
mscoco	init	med	10	2	0.21628793	0.3135875836373878
mscoco	init	med	10	3	0.27823585	0.2905692938400294
mscoco	init	med	10	4	0.33317053	0.4346924654757321
mscoco	init	med	10	5	0.33180225	0.3375110181676167
mscoco	init	med	10	6	0.29357088	0.2801371642829354
mscoco	init	med	10	7	0.17840211	0.20921322132868775
mscoco	init	med	10	8	0.2261557	0.23878280613607097
mscoco	init	med	10	9	0.46029723	0.610637517897789
mscoco	init	med	10	10	0.09264621	0.018267232882526685
mscoco	init	med	11	0	0.15580209	0.037903458183506114
mscoco	init	med	11	1	0.41963857	0.8239842898593154
mscoco	init	med	11	2	0.27526328	0.3827379279493263
mscoco	init	med	11	3	0.30641744	0.2706458636009122
mscoco	init	med	11	4	0.24972466	0.28319942823175176
mscoco	init	med	11	5	0.35145697	0.40521654250411326
mscoco	init	med	11	6	0.24060546	0.19620440264522665
mscoco	init	med	11	7	0.2655189	0.2785655922456047
mscoco	init	med	11	8	0.17456576	0.25142393632964544
mscoco	init	med	11	9	0.22931938	0.20619994950832377
mscoco	init	med	11	10	0.44781238	0.5369200139738108
mscoco	init	med	11	11	0.07934968	0.0114164534508575
mscoco	init	med	12	0	0.16865441	0.04646167570147021
mscoco	init	med	12	1	0.43660292	0.8080524370688463
mscoco	init	med	12	2	0.15781616	0.2056591021587494
mscoco	init	med	12	3	0.35098714	0.4010619480696764
mscoco	init	med	12	4	0.264249	0.35265402147819386
mscoco	init	med	12	5	0.24678454	0.2294435444954584
mscoco	init	med	12	6	0.2577923	0.24408515014460888
mscoco	init	med	12	7	0.1378488	0.20143554575644948
mscoco	init	med	12	8	0.16085802	0.1480249972564393
mscoco	init	med	12	9	0.32710704	0.5349689841434532
mscoco	init	med	12	10	0.18895313	0.18762602682771354
mscoco	init	med	12	11	0.36823457	0.39347028103657067
mscoco	init	med	12	12	0.047489174	0.006410400415288991
mscoco	init	med	13	0	0.16156511	0.028915600776672365
mscoco	init	med	13	1	0.41557884	0.7976977057941258
mscoco	init	med	13	2	0.22305605	0.2985440319776535
mscoco	init	med	13	3	0.22642367	0.2022335347533226
mscoco	init	med	13	4	0.29564685	0.4514240291900933
mscoco	init	med	13	5	0.34742987	0.38783281851559875
mscoco	init	med	13	6	0.20814297	0.19014997899532318
mscoco	init	med	13	7	0.2697486	0.3155417909566313
mscoco	init	med	13	8	0.15384576	0.2133957078307867
mscoco	init	med	13	9	0.22216511	0.19217150717973708
mscoco	init	med	13	10	0.22918853	0.37215802593156694
mscoco	init	med	13	11	0.17346777	0.16692104458808898
mscoco	init	med	13	12	0.38336143	0.4724434095621109
mscoco	init	med	13	13	0.05491997	0.006338753700256348
mscoco	init	min	7	0	0.16395827	0.04600996190780088
mscoco	init	min	7	1	0.4449345	0.9052461590554709
mscoco	init	min	7	2	0.3072115	0.421515610854074
mscoco	init	min	7	3	0.25187558	0.35451545842500454
mscoco	init	min	7	4	0.24607016	0.2771629487259289
mscoco	init	min	7	5	0.2986958	0.41209926958991244
mscoco	init	min	7	6	0.53729075	0.7194542493611822
mscoco	init	min	7	7	0.22230023	0.22637076509234152
mscoco	init	min	8	0	0.15082641	0.03141839868797638
mscoco	init	min	8	1	0.4224966	0.8941310805414806
mscoco	init	min	8	2	0.25462604	0.32551074342697467
mscoco	init	min	8	3	0.29352614	0.3117676284675622
mscoco	init	min	8	4	0.3316822	0.538166676033068
mscoco	init	min	8	5	0.2489453	0.27895796322552546
mscoco	init	min	8	6	0.22942427	0.19832031550623055
mscoco	init	min	8	7	0.46087202	0.7731154356847276
mscoco	init	min	8	8	0.19864118	0.10802114051043946
mscoco	init	min	9	0	0.15300411	0.03370179100003792
mscoco	init	min	9	1	0.39437354	0.8822130248823435
mscoco	init	min	9	2	0.30018795	0.3871411579271334
mscoco	init	min	9	3	0.3053216	0.3556347192130828
mscoco	init	min	9	4	0.31436956	0.3690136709684327
mscoco	init	min	9	5	0.3639252	0.48349972775872485
mscoco	init	min	9	6	0.22070456	0.2335999865300644
mscoco	init	min	9	7	0.26487494	0.25319205610338463
mscoco	init	min	9	8	0.47290963	0.720684826735798
mscoco	init	min	9	9	0.1557931	0.05174385735308789
mscoco	init	min	10	0	0.15920761	0.03589194827484635
mscoco	init	min	10	1	0.41644225	0.8967279602409003
mscoco	init	min	10	2	0.22173402	0.3341848288471635
mscoco	init	min	10	3	0.31056497	0.3422865237938925
mscoco	init	min	10	4	0.35172814	0.48262625421020683
mscoco	init	min	10	5	0.37854972	0.40390604340562897
mscoco	init	min	10	6	0.3307678	0.334876289347984
mscoco	init	min	10	7	0.19467014	0.24111444423870812
mscoco	init	min	10	8	0.26090652	0.25783681293237265
mscoco	init	min	10	9	0.49612018	0.6835088033238602
mscoco	init	min	10	10	0.10261234	0.02354771783048252
mscoco	init	min	11	0	0.15364498	0.037699852358785035
mscoco	init	min	11	1	0.43623734	0.892992446963287
mscoco	init	min	11	2	0.29163706	0.4108915180225132
mscoco	init	min	11	3	0.35963413	0.3446071666591045
mscoco	init	min	11	4	0.2802027	0.3403542879124811
mscoco	init	min	11	5	0.38693082	0.4684338941322516
mscoco	init	min	11	6	0.27731666	0.24317285438880154
mscoco	init	min	11	7	0.3061618	0.3381285912768874
mscoco	init	min	11	8	0.18879259	0.28066877446024985
mscoco	init	min	11	9	0.24995545	0.22347007813044162
mscoco	init	min	11	10	0.5049659	0.6382015974857554
mscoco	init	min	11	11	0.08252686	0.01526645882066544
mscoco	init	min	12	0	0.17281117	0.03828836360882069
mscoco	init	min	12	1	0.41768232	0.8901117063731614
mscoco	init	min	12	2	0.17288102	0.24495322897263547
mscoco	init	min	12	3	0.38382936	0.5227001081186935
mscoco	init	min	12	4	0.29837558	0.44790403321907246
mscoco	init	min	12	5	0.29578942	0.30682274095457174
mscoco	init	min	12	6	0.31785136	0.3101009615106861
mscoco	init	min	12	7	0.1618353	0.24523285030616157
mscoco	init	min	12	8	0.16046728	0.16769250525675458
mscoco	init	min	12	9	0.36132875	0.588001882983196
mscoco	init	min	12	10	0.22555193	0.20242510964052254
